,BusinessName,DateOfInspection,FullAddress,HealthFacilityIDNumber,InspectionIDNumber,InspectionScore,InspectionType,Latitude,Longitude
10850,THE MELTING POT RESTAURANT,03/12/2019,80 9TH ST S,LIC34486,225031,94,Routine,44.97482,-93.27267
10854,THE MELTING POT RESTAURANT,10/10/2017,80 9TH ST S,LIC34486,225032,96,Follow-Up,44.97482,-93.27267
10859,THE MELTING POT RESTAURANT,11/07/2017,80 9TH ST S,LIC34486,228849,100,Follow-Up,44.97482,-93.27267
10862,THE FIX STUDIO,07/17/2018,3725 MINNEHAHA AVE,LIC365132,249296,94,Routine,44.93511,-93.22411
10864,THE HOWE DAILY KITCHEN & BAR,06/27/2017,3675 MINNEHAHA AVE,LIC41522,41846,96,Routine,44.93603,-93.22473
10878,THE HOWE DAILY KITCHEN & BAR,07/18/2018,3675 MINNEHAHA AVE,LIC41522,203285,76,Routine,44.93603,-93.22473
10896,THE HOWE DAILY KITCHEN & BAR,08/24/2017,3675 MINNEHAHA AVE,LIC41522,203286,100,Follow-Up,44.93603,-93.22473
10897,THE HOWE DAILY KITCHEN & BAR,07/30/2019,3675 MINNEHAHA AVE,LIC41522,255495,74,Routine,44.93603,-93.22473
10913,THE HOWE DAILY KITCHEN & BAR,08/23/2018,3675 MINNEHAHA AVE,LIC41522,255496,94,Follow-Up,44.93603,-93.22473
10922,THE HOWE DAILY KITCHEN & BAR,09/26/2019,3675 MINNEHAHA AVE,LIC41522,320684,86,Follow-Up,44.93603,-93.22473
10930,THE HOWE DAILY KITCHEN & BAR,11/26/2019,3675 MINNEHAHA AVE,LIC41522,330502,94,Follow-Up,44.93603,-93.22473
10934,RED DRAGON,10/16/2017,2116 LYNDALE AVE S,LIC41677,42261,96,Routine,44.96116,-93.28845
10940,RED DRAGON,11/16/2018,2116 LYNDALE AVE S,LIC41677,229639,92,Routine,44.96116,-93.28845
10945,RED DRAGON,12/18/2017,2116 LYNDALE AVE S,LIC41677,229640,98,Follow-Up,44.96116,-93.28845
10948,RED DRAGON,11/15/2019,2116 LYNDALE AVE S,LIC41677,279818,90,Routine,44.96116,-93.28845
10955,RED DRAGON,02/03/2019,2116 LYNDALE AVE S,LIC41677,280383,92,Follow-Up,44.96116,-93.28845
10960,RED DRAGON,01/02/2020,2116 LYNDALE AVE S,LIC41677,337779,98,Follow-Up,44.96116,-93.28845
10963,PANCHO VILLA'S RESTAURANT,07/25/2019,2539 NICOLLET AVE,LIC379686,312845,76,Routine,44.95603,-93.27747
10980,PANCHO VILLA'S RESTAURANT,09/11/2019,2539 NICOLLET AVE,LIC379686,319029,90,Follow-Up,44.95603,-93.27747
10988,PANCHO VILLA'S RESTAURANT,11/18/2019,2539 NICOLLET AVE,LIC379686,329225,92,Follow-Up,44.95603,-93.27747
10995,SIP COFFEEBAR,01/03/2017,34 13TH AVE NE #101,LIC30384,23205,96,Routine,44.99914,-93.27166
10999,SIP COFFEEBAR,12/04/2017,34 13TH AVE NE #101,LIC30384,180903,100,Routine,44.99914,-93.27166
11001,SIP COFFEEBAR,12/14/2018,34 13TH AVE NE #101,LIC30384,234746,96,Routine,44.99914,-93.27166
11007,SIP COFFEEBAR,12/13/2019,34 13TH AVE NE #101,LIC30384,285928,98,Routine,44.99914,-93.27166
11010,AREZZO RISTORANTE,10/11/2017,5057 FRANCE AVE S,LIC24183,11054,84,Routine,44.91098,-93.32866
11025,AREZZO RISTORANTE,10/26/2018,5057 FRANCE AVE S,LIC24183,228737,88,Routine,44.91098,-93.32866
11037,AREZZO RISTORANTE,12/20/2017,5057 FRANCE AVE S,LIC24183,228738,98,Follow-Up,44.91098,-93.32866
11042,AREZZO RISTORANTE,02/14/2018,5057 FRANCE AVE S,LIC24183,236557,100,Follow-Up,44.91098,-93.32866
11043,AREZZO RISTORANTE,11/07/2019,5057 FRANCE AVE S,LIC24183,277678,96,Routine,44.91098,-93.32866
11049,AREZZO RISTORANTE,11/30/2018,5057 FRANCE AVE S,LIC24183,277679,100,Follow-Up,44.91098,-93.32866
11050,MEI INN,05/11/2017,4215 BLOOMINGTON AVE,LIC52464,62674,76,Routine,44.92659,-93.252
11071,MEI INN,06/06/2018,4215 BLOOMINGTON AVE,LIC52464,198302,76,Routine,44.92659,-93.252
11090,MEI INN,07/10/2017,4215 BLOOMINGTON AVE,LIC52464,198303,88,Follow-Up,44.92659,-93.252
11108,MEI INN,09/27/2017,4215 BLOOMINGTON AVE,LIC52464,204077,96,Follow-Up,44.92659,-93.252
11115,MEI INN,06/20/2019,4215 BLOOMINGTON AVE,LIC52464,253238,94,Routine,44.92659,-93.252
11124,MEI INN,09/13/2018,4215 BLOOMINGTON AVE,LIC52464,253239,80,Follow-Up,44.92659,-93.252
11134,MEI INN,11/28/2018,4215 BLOOMINGTON AVE,LIC52464,271802,82,Follow-Up,44.92659,-93.252
11147,MEI INN,02/05/2019,4215 BLOOMINGTON AVE,LIC52464,280643,100,Follow-Up,44.92659,-93.252
11152,NICOS TACOS,11/29/2017,2516 HENNEPIN AVE,LIC45154,124531,92,Routine,44.95678,-93.29629
11161,NICOS TACOS,01/24/2017,2516 HENNEPIN AVE,LIC45154,124532,98,Follow-Up,44.95678,-93.29629
11166,NICOS TACOS,11/28/2018,2516 HENNEPIN AVE,LIC45154,234851,94,Routine,44.95678,-93.29629
11172,NICOS TACOS,02/16/2018,2516 HENNEPIN AVE,LIC45154,234852,100,Follow-Up,44.95678,-93.29629
11176,NICOS TACOS,12/11/2019,2516 HENNEPIN AVE,LIC45154,285068,84,Routine,44.95678,-93.29629
11191,NICOS TACOS,01/14/2020,2516 HENNEPIN AVE,LIC45154,338846,96,Follow-Up,44.95678,-93.29629
11197,LA COLONIA RESTAUTANT,07/24/2017,2205 CENTRAL AVE NE,LIC29276,21148,90,Routine,45.01009,-93.24683
11203,LA COLONIA RESTAUTANT,07/24/2018,2205 CENTRAL AVE NE,LIC29276,210693,98,Routine,45.01009,-93.24683
11211,LA COLONIA RESTAUTANT,07/23/2019,2205 CENTRAL AVE NE,LIC29276,262018,92,Routine,45.01009,-93.24683
11215,VILLAGE HOUSE QUE VIET,09/16/2019,2211 JOHNSON ST NE,LIC50054,328971,100,Routine,45.00994,-93.2369
11216,MCCORMICK & SCHMICKS SEAFOOD RESTAURANT,03/09/2017,800 NICOLLET MALL,LIC52311,62258,100,Routine,44.97564,-93.27385
11221,MCCORMICK & SCHMICKS SEAFOOD RESTAURANT,01/17/2018,800 NICOLLET MALL,LIC52311,192328,88,Routine,44.97564,-93.27385
11231,MCCORMICK & SCHMICKS SEAFOOD RESTAURANT,02/12/2019,800 NICOLLET MALL,LIC52311,241159,94,Routine,44.97564,-93.27385
11235,MCCORMICK & SCHMICKS SEAFOOD RESTAURANT,02/21/2018,800 NICOLLET MALL,LIC52311,241160,100,Follow-Up,44.97564,-93.27385
11238,RUSTY TACO,06/07/2017,522 HENNEPIN AVE E,LIC49584,57015,96,Routine,44.98917,-93.25233
11248,RUSTY TACO,06/06/2018,522 HENNEPIN AVE E,LIC49584,202017,82,Routine,44.98917,-93.25233
11263,RUSTY TACO,06/11/2019,522 HENNEPIN AVE E,LIC49584,252262,92,Routine,44.98917,-93.25233
11271,RUSTY TACO,07/03/2018,522 HENNEPIN AVE E,LIC49584,252263,90,Follow-Up,44.98917,-93.25233
11278,RUSTY TACO,06/17/2017,522 HENNEPIN AVE E,LIC49588,57025,98,Routine,44.98917,-93.25233
11280,RUSTY TACO,05/20/2018,522 HENNEPIN AVE E,LIC49588,202158,96,Routine,44.98917,-93.25233
11287,RUSTY TACO,04/20/2019,522 HENNEPIN AVE E,LIC49588,251501,94,Routine,44.98917,-93.25233
11292,SOTAROL,02/22/2017,5005 EWING AVE S,LIC34398,29854,94,Routine,44.91218,-93.3274
11301,SOTAROL,03/12/2018,5005 EWING AVE S,LIC34398,196841,90,Routine,44.91218,-93.3274
11308,SOTAROL,03/22/2019,5005 EWING AVE S,LIC34398,245969,98,Routine,44.91218,-93.3274
11312,SOTAROL,05/01/2018,5005 EWING AVE S,LIC34398,245970,96,Follow-Up,44.91218,-93.3274
11315,TAQUERIA VICTOR HUGO,03/31/2017,5801 NICOLLET AVE,LIC53464,64584,78,Follow-Up,44.89761,-93.27779
11326,TAQUERIA VICTOR HUGO,05/30/2017,5801 NICOLLET AVE,LIC53464,64585,94,Routine,44.89761,-93.27779
11331,TAQUERIA VICTOR HUGO,05/15/2017,5801 NICOLLET AVE,LIC53464,194377,94,Follow-Up,44.89761,-93.27779
11335,TAQUERIA VICTOR HUGO,05/19/2018,5801 NICOLLET AVE,LIC53464,249158,100,Routine,44.89761,-93.27779
11336,TAQUERIA VICTOR HUGO,05/23/2019,5801 NICOLLET AVE,LIC53464,252352,90,Routine,44.89761,-93.27779
11345,TAQUERIA VICTOR HUGO,06/27/2019,5801 NICOLLET AVE,LIC53464,311559,96,Follow-Up,44.89761,-93.27779
11348,TAP SOCIETY,02/11/2019,4555 GRAND AVE S,LIC364917,280881,94,Routine,44.91976,-93.28408
11355,THE BUNGALOW CLUB,05/31/2018,4300 LAKE ST E,LIC362883,243729,72,Routine,44.94862,-93.2112
11376,THE BUNGALOW CLUB,06/26/2019,4300 LAKE ST E,LIC362883,251915,94,Routine,44.94862,-93.2112
11386,THE BUNGALOW CLUB,08/02/2018,4300 LAKE ST E,LIC362883,251916,96,Follow-Up,44.94862,-93.2112
11393,THE BUNGALOW CLUB,10/02/2018,4300 LAKE ST E,LIC362883,260777,96,Follow-Up,44.94862,-93.2112
11397,KINHDO RESTAURANT,06/22/2017,2755 HENNEPIN AVE,LIC25429,13323,92,Routine,44.95213,-93.29785
11405,KINHDO RESTAURANT,06/21/2018,2755 HENNEPIN AVE,LIC25429,202064,90,Routine,44.95213,-93.29785
11412,KINHDO RESTAURANT,09/06/2017,2755 HENNEPIN AVE,LIC25429,202065,100,Follow-Up,44.95213,-93.29785
11415,KINHDO RESTAURANT,06/21/2019,2755 HENNEPIN AVE,LIC25429,254024,92,Routine,44.95213,-93.29785
11426,KINHDO RESTAURANT,09/25/2018,2755 HENNEPIN AVE,LIC25429,254025,100,Follow-Up,44.95213,-93.29785
11428,EGG & I,01/03/2017,2828 LYNDALE AVE S,LIC32557,26293,100,Routine,44.95085,-93.28851
11437,EGG & I,02/01/2018,2828 LYNDALE AVE S,LIC32557,181041,100,Routine,44.95085,-93.28851
11441,EGG & I,02/04/2019,2828 LYNDALE AVE S,LIC32557,242118,94,Routine,44.95085,-93.28851
11445,COCINA LATINA,04/05/2017,3764 NICOLLET AVE,LIC39674,38311,96,Routine,44.93444,-93.27824
11455,COCINA LATINA,04/11/2018,3764 NICOLLET AVE,LIC39674,194535,82,Routine,44.93444,-93.27824
11469,COCINA LATINA,05/04/2017,3764 NICOLLET AVE,LIC39674,194536,100,Follow-Up,44.93444,-93.27824
11472,COCINA LATINA,04/23/2019,3764 NICOLLET AVE,LIC39674,247987,98,Routine,44.93444,-93.27824
11480,COCINA LATINA,06/04/2018,3764 NICOLLET AVE,LIC39674,247988,100,Follow-Up,44.93444,-93.27824
11481,SIKORAS POLISH MARKET & DELI,08/30/2018,1625 WASHINGTON ST NE,LIC30300,23101,100,Routine,45.00503,-93.25719
11482,SIKORAS POLISH MARKET & DELI,08/14/2017,1625 WASHINGTON ST NE,LIC30302,23107,92,Routine,45.00503,-93.25719
11486,SIKORAS POLISH MARKET & DELI,08/14/2018,1625 WASHINGTON ST NE,LIC30302,216802,84,Routine,45.00503,-93.25719
11494,SIKORAS POLISH MARKET & DELI,08/14/2019,1625 WASHINGTON ST NE,LIC30302,272507,98,Routine,45.00503,-93.25719
11496,SIKORAS POLISH MARKET & DELI,09/13/2018,1625 WASHINGTON ST NE,LIC30302,272508,96,Follow-Up,45.00503,-93.25719
11499,HAMBURGUESAS EL GORDO,02/22/2018,4157 CEDAR AVE S,LIC361925,236684,76,Routine,44.92713,-93.24694
11521,HAMBURGUESAS EL GORDO,03/11/2019,4157 CEDAR AVE S,LIC361925,245977,66,Routine,44.92713,-93.24694
11546,HAMBURGUESAS EL GORDO,04/04/2018,4157 CEDAR AVE S,LIC361925,245978,84,Follow-Up,44.92713,-93.24694
11554,HAMBURGUESAS EL GORDO,05/15/2018,4157 CEDAR AVE S,LIC361925,247502,94,Follow-Up,44.92713,-93.24694
11559,HAMBURGUESAS EL GORDO,07/12/2018,4157 CEDAR AVE S,LIC361925,251674,94,Follow-Up,44.92713,-93.24694
11563,HAMBURGUESAS EL GORDO,09/25/2018,4157 CEDAR AVE S,LIC361925,254492,94,Follow-Up,44.92713,-93.24694
11568,HAMBURGUESAS EL GORDO,11/19/2018,4157 CEDAR AVE S,LIC361925,274468,98,Follow-Up,44.92713,-93.24694
11573,HAMBURGUESAS EL GORDO,05/30/2019,4157 CEDAR AVE S,LIC361925,307862,90,Follow-Up,44.92713,-93.24694
11587,HAMBURGUESAS EL GORDO,07/11/2019,4157 CEDAR AVE S,LIC361925,312875,94,Follow-Up,44.92713,-93.24694
11594,CRAVE,06/12/2017,825 HENNEPIN AVE #222,LIC43737,45732,66,Routine,44.97643,-93.27643
11621,CRAVE,08/07/2018,825 HENNEPIN AVE #222,LIC43737,201325,84,Routine,44.97643,-93.27643
11637,CRAVE,07/18/2017,825 HENNEPIN AVE #222,LIC43737,201326,100,Follow-Up,44.97643,-93.27643
11642,CRAVE,08/05/2019,825 HENNEPIN AVE #222,LIC43737,263505,72,Routine,44.97643,-93.27643
11663,CRAVE,09/26/2018,825 HENNEPIN AVE #222,LIC43737,263506,100,Follow-Up,44.97643,-93.27643
11664,CRAVE,09/09/2019,825 HENNEPIN AVE #222,LIC43737,321265,92,Follow-Up,44.97643,-93.27643
11672,CODE BLU COFFEE,02/21/2018,2620 FRANKLIN AVE E,LIC354331,236823,96,Routine,44.96301,-93.23344
11676,CODE BLU COFFEE,08/20/2019,2620 FRANKLIN AVE E,LIC354331,243566,100,Routine,44.96301,-93.23344
11682,WASABI FUSION CUISINE,08/09/2017,903 WASHINGTON AVE S,LIC50352,58804,88,Routine,44.97617,-93.25594
11691,WASABI FUSION CUISINE,08/14/2018,903 WASHINGTON AVE S,LIC50352,227823,88,Routine,44.97617,-93.25594
11703,WASABI FUSION CUISINE,08/13/2019,903 WASHINGTON AVE S,LIC50352,265317,100,Routine,44.97617,-93.25594
11708,WASABI FUSION CUISINE,09/12/2018,903 WASHINGTON AVE S,LIC50352,265318,94,Follow-Up,44.97617,-93.25594
11715,WASABI FUSION CUISINE,10/11/2018,903 WASHINGTON AVE S,LIC50352,271795,96,Follow-Up,44.97617,-93.25594
11720,TORI RAMEN,07/13/2018,2201 44TH AVE N,LIC363099,248040,76,Routine,45.03523,-93.30894
11735,TORI RAMEN,07/11/2019,2201 44TH AVE N,LIC363099,254888,68,Routine,45.03523,-93.30894
11763,TORI RAMEN,09/19/2018,2201 44TH AVE N,LIC363099,254889,94,Follow-Up,45.03523,-93.30894
11770,TORI RAMEN,08/28/2019,2201 44TH AVE N,LIC363099,315362,94,Follow-Up,45.03523,-93.30894
11781,INTERNATIONAL CUISINE BAR & GRILL REST,01/04/2017,3508 LAKE ST E,LIC44397,47181,88,Follow-Up,44.94866,-93.2211
11788,INTERNATIONAL CUISINE BAR & GRILL REST,11/22/2017,3508 LAKE ST E,LIC44397,47182,94,Routine,44.94866,-93.2211
11802,INTERNATIONAL CUISINE BAR & GRILL REST,02/21/2017,3508 LAKE ST E,LIC44397,181084,96,Follow-Up,44.94866,-93.2211
11807,INTERNATIONAL CUISINE BAR & GRILL REST,11/29/2018,3508 LAKE ST E,LIC44397,233843,86,Routine,44.94866,-93.2211
11824,INTERNATIONAL CUISINE BAR & GRILL REST,01/11/2018,3508 LAKE ST E,LIC44397,233844,98,Follow-Up,44.94866,-93.2211
11832,INTERNATIONAL CUISINE BAR & GRILL REST,11/26/2019,3508 LAKE ST E,LIC44397,280712,86,Routine,44.94866,-93.2211
11851,INTERNATIONAL CUISINE BAR & GRILL REST,01/24/2019,3508 LAKE ST E,LIC44397,280713,94,Follow-Up,44.94866,-93.2211
11858,INTERNATIONAL CUISINE BAR & GRILL REST,03/14/2019,3508 LAKE ST E,LIC44397,293002,98,Follow-Up,44.94866,-93.2211
11862,INTERNATIONAL CUISINE BAR & GRILL REST,01/02/2020,3508 LAKE ST E,LIC44397,338018,92,Follow-Up,44.94866,-93.2211
11874,SEGUE CAFE,04/20/2017,811 11TH AVE S,LIC26484,15584,96,Routine,44.96902,-93.25765
11875,SEGUE CAFE,04/11/2018,811 11TH AVE S,LIC26484,196318,94,Routine,44.96902,-93.25765
11879,SEGUE CAFE,04/11/2019,811 11TH AVE S,LIC26484,247710,96,Routine,44.96902,-93.25765
11881,SEGUE CAFE,05/15/2018,811 11TH AVE S,LIC26484,247711,98,Follow-Up,44.96902,-93.25765
11883,SEGUE COFFEE,10/25/2019,811 11TH AVE S,LIC382758,327061,96,Routine,44.96902,-93.25765
11884,PINEDAS TACOS,08/24/2017,2130 LAKE ST E,LIC355777,203550,100,Routine,44.94937,-93.24092
11891,PINEDAS TACOS,09/13/2018,2130 LAKE ST E,LIC355777,222852,96,Routine,44.94937,-93.24092
11899,PINEDAS TACOS,08/26/2019,2130 LAKE ST E,LIC355777,272078,86,Routine,44.94937,-93.24092
11910,PINEDAS TACOS,10/23/2018,2130 LAKE ST E,LIC355777,272079,100,Follow-Up,44.94937,-93.24092
11915,PINEDAS TACOS,10/24/2019,2130 LAKE ST E,LIC355777,326152,98,Follow-Up,44.94937,-93.24092
11919,PINEDA MOBILE,08/29/2019,2130 LAKE ST E,LIC366326,249297,92,Routine,44.94937,-93.24092
11923,THE LOWRY CAFE,03/02/2018,2207 LOWRY AVE N,LIC360677,233444,88,Routine,45.01304,-93.30874
11931,THE LOWRY CAFE,03/01/2019,2207 LOWRY AVE N,LIC360677,245344,76,Routine,45.01304,-93.30874
11940,THE LOWRY CAFE,05/01/2018,2207 LOWRY AVE N,LIC360677,245345,96,Follow-Up,45.01304,-93.30874
11944,THE LOWRY CAFE,04/30/2019,2207 LOWRY AVE N,LIC360677,302500,94,Follow-Up,45.01304,-93.30874
11947,BLACK COFFEE & WAFFLE BAR,11/15/2017,1500 COMO AVE SE,LIC39495,38051,88,Routine,44.98769,-93.23008
11954,BLACK COFFEE & WAFFLE BAR,05/16/2019,1500 COMO AVE SE,LIC39495,233044,88,Routine,44.98769,-93.23008
11962,BLACK COFFEE & WAFFLE BAR,12/14/2017,1500 COMO AVE SE,LIC39495,233045,100,Follow-Up,44.98769,-93.23008
11964,BLACK COFFEE & WAFFLE BAR,07/15/2019,1500 COMO AVE SE,LIC39495,310593,100,Follow-Up,44.98769,-93.23008
11968,SOHO CAFE,09/29/2017,2532 HENNEPIN AVE,LIC34289,29643,90,Routine,44.95613,-93.29692
11977,SOHO CAFE,10/01/2018,2532 HENNEPIN AVE,LIC34289,229611,98,Routine,44.95613,-93.29692
11983,SOHO CAFE,12/18/2017,2532 HENNEPIN AVE,LIC34289,229612,94,Follow-Up,44.95613,-93.29692
11988,SOHO CAFE,10/02/2019,2532 HENNEPIN AVE,LIC34289,276681,94,Routine,44.95613,-93.29692
11994,RAAG PROGRESSIVE INDIAN RESTAURANT,01/02/2020,3812 50TH ST W,LIC378692,332037,98,Routine,44.91285,-93.32813
12001,LA MESA,05/08/2018,230 CEDAR LAKE RD S,LIC360956,236501,98,Routine,44.97484,-93.30682
12006,LA MESA,11/15/2019,230 CEDAR LAKE RD S,LIC360956,252078,100,Routine,44.97484,-93.30682
12011,RAINBOW CHINESE RESTAURANT,11/16/2017,2739 NICOLLET AVE,LIC41526,180079,98,Routine,44.95242,-93.2775
12019,RAINBOW CHINESE RESTAURANT,11/27/2018,2739 NICOLLET AVE,LIC41526,233211,96,Routine,44.95242,-93.2775
12024,RAINBOW CHINESE RESTAURANT,12/17/2019,2739 NICOLLET AVE,LIC41526,280589,94,Routine,44.95242,-93.2775
12029,SCOTT JA-MAMAS,05/24/2019,3 DIAMOND LAKE RD W,LIC377495,305140,92,Routine,44.90375,-93.27844
12040,THE NICOLLET DINER & MUFFIN TOP CAFE,07/25/2017,1428 NICOLLET AVE,LIC34499,30121,86,Routine,44.96789,-93.27817
12053,THE NICOLLET DINER & MUFFIN TOP CAFE,08/02/2018,1428 NICOLLET AVE,LIC34499,211504,90,Routine,44.96789,-93.27817
12063,THE NICOLLET DINER & MUFFIN TOP CAFE,08/21/2017,1428 NICOLLET AVE,LIC34499,211505,96,Follow-Up,44.96789,-93.27817
12070,THE NICOLLET DINER & MUFFIN TOP CAFE,09/12/2017,1428 NICOLLET AVE,LIC34499,220003,96,Follow-Up,44.96789,-93.27817
12076,THE NICOLLET DINER & MUFFIN TOP CAFE,07/24/2019,1428 NICOLLET AVE,LIC34499,262448,94,Routine,44.96789,-93.27817
12083,THE NICOLLET DINER & MUFFIN TOP CAFE,09/06/2018,1428 NICOLLET AVE,LIC34499,262449,100,Follow-Up,44.96789,-93.27817
12087,POPOL VUH,08/24/2018,1414 QUINCY ST NE,LIC351120,253447,84,Routine,45.00276,-93.25158
12091,POPOL VUH,08/23/2019,1414 QUINCY ST NE,LIC351120,272290,90,Routine,45.00276,-93.25158
12096,POPOL VUH,09/24/2018,1414 QUINCY ST NE,LIC351120,272291,92,Follow-Up,45.00276,-93.25158
12099,PANTAGES THEATRE,04/26/2017,710 HENNEPIN AVE #TRACT TRAC,LIC26194,14979,96,Routine,44.97801,-93.27548
12105,PANTAGES THEATRE,11/06/2018,710 HENNEPIN AVE #TRACT TRAC,LIC26194,196901,92,Routine,44.97801,-93.27548
12109,LOEWS HOTEL - APOTHECARY RESTAURANT,02/02/2017,601 1ST AVE N,LIC40731,40295,94,Routine,44.97879,-93.27485
12113,LOEWS HOTEL - APOTHECARY RESTAURANT,01/02/2018,601 1ST AVE N,LIC40731,190223,100,Routine,44.97879,-93.27485
12114,LOEWS HOTEL - APOTHECARY RESTAURANT,12/26/2018,601 1ST AVE N,LIC40731,237049,96,Routine,44.97879,-93.27485
12115,LOEWS HOTEL - APOTHECARY RESTAURANT,12/20/2019,601 1ST AVE N,LIC40731,286499,98,Routine,44.97879,-93.27485
12117,7 - THE SKYBAR,04/21/2017,700 HENNEPIN AVE,LIC43177,44730,100,Routine,44.97801,-93.27548
12118,7 - THE SKYBAR,05/01/2018,700 HENNEPIN AVE,LIC43177,196602,100,Routine,44.97801,-93.27548
12121,7 - THE SKYBAR,05/03/2019,700 HENNEPIN AVE,LIC43177,249194,100,Routine,44.97801,-93.27548
12124,THE STRAY DOG,02/21/2018,401 HENNEPIN AVE E,LIC360378,230926,86,Routine,44.9888,-93.25494
12130,THE STRAY DOG,03/05/2019,401 HENNEPIN AVE E,LIC360378,243654,92,Routine,44.9888,-93.25494
12141,THE STRAY DOG,04/04/2018,401 HENNEPIN AVE E,LIC360378,243655,100,Follow-Up,44.9888,-93.25494
12143,THE STRAY DOG,04/23/2019,401 HENNEPIN AVE E,LIC360378,304033,100,Follow-Up,44.9888,-93.25494
12148,AMORE UPTOWN,01/26/2017,1601 LAKE ST W,LIC23890,10452,96,Follow-Up,44.94807,-93.30246
12154,AMORE UPTOWN,08/23/2017,1601 LAKE ST W,LIC23890,10453,86,Routine,44.94807,-93.30246
12179,AMORE UPTOWN,09/07/2018,1601 LAKE ST W,LIC23890,223051,92,Routine,44.94807,-93.30246
12196,AMORE UPTOWN,10/19/2017,1601 LAKE ST W,LIC23890,223052,94,Follow-Up,44.94807,-93.30246
12209,AMORE UPTOWN,12/22/2017,1601 LAKE ST W,LIC23890,230519,100,Follow-Up,44.94807,-93.30246
12214,AMORE UPTOWN,09/06/2019,1601 LAKE ST W,LIC23890,271523,100,Routine,44.94807,-93.30246
12220,AMORE UPTOWN,10/26/2018,1601 LAKE ST W,LIC23890,271524,98,Follow-Up,44.94807,-93.30246
12227,AMORE UPTOWN,12/21/2018,1601 LAKE ST W,LIC23890,277706,98,Follow-Up,44.94807,-93.30246
12230,BUCA DI BEPPO,09/12/2017,1204 HARMON PL,LIC47558,52811,80,Routine,44.974,-93.28005
12243,BUCA DI BEPPO,09/13/2018,1204 HARMON PL,LIC47558,225697,96,Routine,44.974,-93.28005
12248,BUCA DI BEPPO,10/24/2017,1204 HARMON PL,LIC47558,225698,96,Follow-Up,44.974,-93.28005
12250,BUCA DI BEPPO,10/01/2019,1204 HARMON PL,LIC47558,272062,82,Routine,44.974,-93.28005
12263,BUCA DI BEPPO,10/17/2019,1204 HARMON PL,LIC47558,331111,92,Follow-Up,44.974,-93.28005
12268,CHIN DIAN CAFE,12/04/2017,1500 HENNEPIN AVE E,LIC32419,124094,96,Routine,44.9913,-93.23038
12281,CHIN DIAN CAFE,05/04/2017,1500 HENNEPIN AVE E,LIC32419,124095,94,Follow-Up,44.9913,-93.23038
12288,CHIN DIAN CAFE,06/20/2017,1500 HENNEPIN AVE E,LIC32419,197675,100,Follow-Up,44.9913,-93.23038
12290,CHIN DIAN CAFE,12/19/2018,1500 HENNEPIN AVE E,LIC32419,234479,96,Routine,44.9913,-93.23038
12298,CHIN DIAN CAFE,01/24/2018,1500 HENNEPIN AVE E,LIC32419,234480,96,Follow-Up,44.9913,-93.23038
12307,CHIN DIAN CAFE,02/21/2018,1500 HENNEPIN AVE E,LIC32419,241465,98,Follow-Up,44.9913,-93.23038
12311,CHIN DIAN CAFE,01/03/2020,1500 HENNEPIN AVE E,LIC32419,285915,86,Routine,44.9913,-93.23038
12319,CHIN DIAN CAFE,02/27/2019,1500 HENNEPIN AVE E,LIC32419,285916,96,Follow-Up,44.9913,-93.23038
12324,PHO HOA,08/27/2019,2450 NICOLLET AVE,LIC372188,272169,98,Routine,44.95754,-93.27856
12327,MESA PIZZA UPTOWN,05/31/2017,1440 LAKE ST W,LIC25652,13930,96,Routine,44.94883,-93.29925
12332,MESA PIZZA UPTOWN,12/05/2018,1440 LAKE ST W,LIC25652,200536,100,Routine,44.94883,-93.29925
12336,TOWN HALL LANES,10/11/2017,5019 34TH AVE S,LIC38276,37021,94,Routine,44.9119,-93.22245
12347,TOWN HALL LANES,10/26/2018,5019 34TH AVE S,LIC38276,229347,100,Routine,44.9119,-93.22245
12350,TOWN HALL LANES,12/07/2017,5019 34TH AVE S,LIC38276,229348,100,Follow-Up,44.9119,-93.22245
12352,TOWN HALL LANES,10/24/2019,5019 34TH AVE S,LIC38276,277487,86,Routine,44.9119,-93.22245
12362,TOWN HALL LANES,12/18/2019,5019 34TH AVE S,LIC38276,335304,94,Follow-Up,44.9119,-93.22245
12367,DAN KELLY'S PUB,07/25/2017,212 7TH ST S,LIC40049,39064,62,Routine,44.97573,-93.26894
12394,DAN KELLY'S PUB,04/03/2017,212 7TH ST S,LIC40049,124538,96,Follow-Up,44.97573,-93.26894
12398,DAN KELLY'S PUB,08/10/2018,212 7TH ST S,LIC40049,207381,92,Routine,44.97573,-93.26894
12406,DAN KELLY'S PUB,09/26/2017,212 7TH ST S,LIC40049,207382,88,Follow-Up,44.97573,-93.26894
12415,DAN KELLY'S PUB,11/06/2017,212 7TH ST S,LIC40049,226973,92,Follow-Up,44.97573,-93.26894
12424,DAN KELLY'S PUB,12/19/2017,212 7TH ST S,LIC40049,232247,96,Follow-Up,44.97573,-93.26894
12427,DAN KELLY'S PUB,08/13/2019,212 7TH ST S,LIC40049,263526,78,Routine,44.97573,-93.26894
12442,DAN KELLY'S PUB,10/08/2019,212 7TH ST S,LIC40049,323950,94,Follow-Up,44.97573,-93.26894
12451,THE LOOP,03/21/2017,606 WASHINGTON AVE N,LIC34453,29971,88,Routine,44.98744,-93.27588
12462,THE LOOP,04/04/2018,606 WASHINGTON AVE N,LIC34453,193344,76,Routine,44.98744,-93.27588
